scenario,obj
0,113317237.00442691
1,113287155.65512088
2,113332175.74486819
3,113324445.83737844
4,113306439.31699777
5,113332378.2550384
6,113329267.48203121
7,113336801.57137893
8,113296680.34860902
9,113293150.2175825
10,113334931.17167279
11,113273674.11383429
12,113327825.52046797
13,113249455.43888745
14,113323694.86698331
15,113326210.94997567
16,113334786.31638369
17,113319741.8600879
18,113332329.057254
19,113326469.37431523
20,113301071.91790003
21,113324294.49082835
22,113314157.70345636
23,113328545.24829623
24,113330463.20566052
25,113311415.88315885
26,113334233.70596953
27,113330290.40685515
28,113331542.2454612
29,113323595.96076559
30,113335029.03590152
31,113334443.11427751
32,113280473.6294161
33,113309599.13445176
34,113333230.58040965
35,113332011.85760547
36,113325384.54622988
37,113325366.97517642
38,113281690.3238009
39,113336448.77861753
40,113294202.82430659
41,113325150.4452075
42,113326917.0932357
43,113325667.30639718
44,113318724.89898144
45,113327675.4107204
46,113324204.2855618
47,113328967.7315374
48,113326497.06789161
49,113300840.78371778
50,113333399.98603813
51,113326393.71799088
52,113328522.58944091
53,113329733.74973473
54,113249411.23954238
55,113312197.23731211
56,113332775.87075031
57,113298795.63486226
58,113331858.6865833
59,113331708.02866903
60,113334408.14141485
61,113309151.85434861
62,113329256.94731493
63,113332627.9826959
64,113279437.47971779
65,113327956.90581624
66,113332914.3121106
67,113279906.12036099
68,113327057.38793097
69,113320489.73303035
70,113324230.82762206
71,113333181.82610485
72,113328083.63461179
73,113325681.97413625
74,113317545.98921177
75,113323865.84783866
76,113323442.3582176
77,113319477.52066888
78,113307779.15227583
79,113264937.23767307
80,113327148.87900646
81,113339502.13681974
82,113276399.9660671
83,113249044.9099474
84,113330120.17786798
85,113325906.05810578
86,113326503.92642538
87,113326388.00263979
88,113318717.26218851
89,113327779.48672397
90,113329201.47712916
91,113335118.16330223
92,113284661.07885514
93,113296639.90106441
94,113328971.97759786
95,113291601.438321
96,113283696.6692843
97,113291744.67917006
98,113325828.85621263
99,113270795.06673078
100,113290760.70466563
